0,1,0,0,0,0,40,8.938,1
1,1,402,219,400,490,40,0.784,1
2,1,393,487,310,220,40,0.788,1
3,1,310,260,400,400,40,0.646,1
4,1,402,396,490,400,40,0.633,1
5,1,473,398,490,400,40,1.051,1
6,1,477,398,220,400,40,0.734,1
7,1,240,399,310,220,40,0.767,1
8,1,304,185,310,400,40,0.75,1
9,1,294,420,490,310,40,0.715,1
10,1,460,323,310,490,40,0.802,1
11,1,299,492,490,220,40,0.948,1
12,1,495,186,220,220,40,0.819,1
13,1,188,202,310,490,40,0.732,1
14,1,326,482,310,220,40,0.782,1
15,1,317,214,310,400,40,0.717,1
16,1,319,394,490,220,40,0.75,1
17,1,485,226,490,220,40,0.867,1
18,1,488,233,400,400,40,0.666,1
19,1,399,390,310,400,40,0.618,1
20,1,306,381,400,220,40,1.0,1
21,1,409,206,490,310,40,0.851,1
22,1,479,332,490,220,40,0.717,1
23,1,447,230,490,400,40,0.764,1
24,1,469,377,490,400,40,0.768,1
25,1,496,411,220,310,40,0.766,1
26,1,238,307,400,310,40,0.75,1
27,1,416,316,220,310,40,0.649,1
28,1,198,302,490,490,40,0.768,1
29,1,493,491,220,310,40,0.649,1
30,1,217,312,310,310,40,0.549,1
31,1,293,300,310,310,40,0.382,1
32,1,294,300,490,490,40,0.9,1
33,1,487,491,400,400,40,0.819,1
34,1,414,407,490,490,40,0.549,1
35,1,469,453,490,220,40,0.851,1
36,1,460,211,220,490,40,0.699,1
37,1,205,511,310,310,40,0.631,0
38,1,292,369,490,400,40,0.852,1
39,1,461,385,310,220,40,0.666,1
40,1,321,218,220,490,40,0.748,1
41,1,228,483,400,490,40,0.667,1
42,1,382,474,490,490,40,0.666,1
43,1,450,478,310,220,40,0.818,1
44,1,295,216,220,400,40,0.697,1
45,1,203,379,310,490,40,0.717,1
46,1,289,481,310,220,40,0.701,1
47,1,308,217,400,310,40,0.685,1
48,1,366,286,400,490,40,0.716,1
49,1,386,479,400,220,40,0.815,1
50,1,385,204,310,220,40,0.582,1
51,1,324,227,220,220,40,0.705,1
52,1,234,226,400,400,40,0.679,1
53,1,421,390,310,490,40,0.667,1
54,1,290,492,310,310,40,0.633,1
55,1,344,300,400,310,40,0.585,1
56,1,421,311,400,490,40,0.649,1
57,1,403,476,310,310,40,0.665,1
58,1,312,307,400,220,40,0.634,1
59,1,408,228,220,310,40,0.7,1
60,1,233,302,490,490,40,0.951,1
61,1,473,481,490,220,40,0.831,1
62,1,477,239,220,400,40,0.835,1
63,1,226,400,310,490,40,0.665,1
